,benchmark,nodenum=300,iterations=300,threshold=0.8,per_NICN=0.6,per_NIC=0.6,LLM=1
0,-0.20105411382177596,-0.20284495282554751,-0.2043545075870921,-0.20947913274537,-0.19461479275440202,-0.5918113105014795,0.6056544709732736
1,-0.21357563614571287,-0.2163069860150468,-0.216585015815342,-0.2513789667855543,-0.2106713877229931,-0.6005577525391911,0.6142291800193173
2,-0.22293019403169786,-0.22714339500263445,-0.2256382262911972,-0.28659245381071147,-0.22195741443718192,-0.6053535390968758,0.6192423829919708
3,-0.2306718311559073,-0.23630121165878548,-0.23334651788614774,-0.31789823148122226,-0.22986083253397752,-0.6083588442733163,0.6221092551365359
4,-0.2372276180697736,-0.24371671208858492,-0.23990867436036933,-0.34772276599866747,-0.2358685274169341,-0.6101557261185381,0.6242898208193443
5,-0.2427844549975397,-0.25009854722097546,-0.245629041882552,-0.3771255511637,-0.2404744340182767,-0.6116975575142654,0.626144404591306
6,-0.24776311375181248,-0.2556047272814105,-0.25038863760966384,-0.40643150465095085,-0.2444523464368815,-0.6129394641137723,0.6277376076590016
7,-0.2520246868175975,-0.2603927986832641,-0.25476131124639134,-0.4355209690018435,-0.24770844979718107,-0.6138184836340123,0.6290690385371197
8,-0.2558133243182157,-0.26445461223541233,-0.2585792839941467,-0.4653578255883594,-0.2503067189281318,-0.6147022841202778,0.6302793503554373
9,-0.25941708754063003,-0.2680593539566604,-0.2621358280391982,-0.49503537376148316,-0.2527068644654549,-0.6154511743270815,0.6310833903063148
10,-0.2629684275236315,-0.2712322618740742,-0.26520578646524295,-0.5248169750451306,-0.2549455151245131,-0.6160136676828525,0.6320271143260354
11,-0.26614749880600574,-0.2740046140722965,-0.26816164724697406,-0.5538620942744206,-0.2570565949997627,-0.6167018951117523,0.6327219287092422
12,-0.26904766107789224,-0.2763788245637507,-0.270994118267582,-0.5812199651988322,-0.25888335670094115,-0.6170989833982391,0.6333385126205076
13,-0.2717631261409185,-0.2786021918861881,-0.27355238128383597,-0.6064439767495934,-0.26057299362319986,-0.6175478473530692,0.6337275487658164
14,-0.27404981073225615,-0.28068628800001244,-0.2759241300042643,-0.6300399885893386,-0.26214192320686147,-0.6177985460984617,0.6341656553170473
15,-0.27637536077768476,-0.28258043147184825,-0.2781543139932698,-0.6520507777768435,-0.26372443150664165,-0.6181245646332405,0.6348217063000705
16,-0.27862364528548095,-0.2842900738737903,-0.2801886171245676,-0.6721948390468016,-0.2649439629047769,-0.6184220613490209,0.6352255563312315
17,-0.2808061958283299,-0.2858348179846569,-0.2821551901115664,-0.6906089777985137,-0.26603302366752357,-0.6187269479970405,0.6356016924453939
18,-0.2829448077208483,-0.28726057423167284,-0.28397635546617056,-0.7076728713606508,-0.2668962249719499,-0.619007178208552,0.6359436234312703
19,-0.28499283440423556,-0.2885656286725944,-0.2857557829964193,-0.7234559093965379,-0.2678266388843811,-0.6191940084154186,0.6362879098395549
20,-0.2867418363401471,-0.28969405309955587,-0.2872513158272475,-0.7382474855011634,-0.2687009386159022,-0.6193308618213523,0.6365803943706444
21,-0.2884393005824253,-0.29069419736807306,-0.2887214149289038,-0.7518896502371741,-0.2694460689998437,-0.6196098518533866,0.6368241926875605
22,-0.29012485035340163,-0.2916211337958439,-0.2900146459818387,-0.7645732357135343,-0.27013440545989686,-0.6196745811448136,0.6370881127186339
23,-0.2915890246531448,-0.2924564698503492,-0.2913195431621324,-0.7763203091300171,-0.27091303145114004,-0.6197540179049829,0.6373112516874528
24,-0.29296281135662655,-0.29319550750196416,-0.29257415159492345,-0.7873513785731319,-0.271755337956674,-0.6198161511527831,0.637560551750983
25,-0.294258974205076,-0.2938266573784607,-0.29373839611080393,-0.7975057376903801,-0.27243644511340986,-0.6200343040470961,0.6377811592269201
26,-0.29546643003498424,-0.2944164417424786,-0.29491571124995486,-0.8070278798213281,-0.2731080272754511,-0.6202284466040026,0.6380173997547657
27,-0.2967215851714115,-0.2949605911670925,-0.2961493197086893,-0.8157373089990998,-0.27371495189345485,-0.6203395706749817,0.6381310824930367
28,-0.29781735306433427,-0.29544100389141437,-0.29723586786933265,-0.8239567762021839,-0.2742348285677979,-0.6204713736113727,0.6382924064540095
29,-0.298881465638939,-0.2959190106588879,-0.29822330182051693,-0.8315342757811159,-0.27484213463175916,-0.620658698364903,0.6383863145036383
30,-0.29986621965995147,-0.29633668972143723,-0.2991205147773149,-0.8386464530493616,-0.27559763881173815,-0.620816804760598,0.6384617819762153
31,-0.30080696699387793,-0.29675128065442224,-0.3000369377923138,-0.8452036959870479,-0.27615944738189385,-0.620901729413665,0.6385723787491284
32,-0.30171922384625366,-0.29717091330375395,-0.30083169278874006,-0.8512818662481897,-0.27685562162247734,-0.6209321803770737,0.6387796886924273
33,-0.3025581216320106,-0.2975571258754648,-0.3015435011039591,-0.8570261325434003,-0.27755601927714546,-0.6210174269672454,0.6389108611500236
34,-0.30329640886068215,-0.29794815094392,-0.3022028334229001,-0.8623169684552165,-0.2781574696697757,-0.6211114125516369,0.639043731276358
35,-0.3040193923454154,-0.29829799149443686,-0.3027601430474977,-0.8672666527585462,-0.27866621892364923,-0.6212343744570488,0.6391652083897778
36,-0.3047358835994165,-0.29862363537508196,-0.30327861780193255,-0.8718309255831209,-0.27911558227381483,-0.6212683398793275,0.639315710714152
37,-0.30546348006026564,-0.29893873176815583,-0.30376559992487495,-0.8761142061600721,-0.2794474153429955,-0.6213301818160692,0.6393800081065634
38,-0.30613906897265664,-0.2992432527896035,-0.30427700103736455,-0.880201839927743,-0.27987848080558053,-0.6213994730818783,0.6394859933904083
39,-0.306796641675349,-0.2995243408729707,-0.3047195531546061,-0.8839696192123137,-0.2802615768484575,-0.6214311312123141,0.6396422511744081
40,-0.30742087367920085,-0.29977174045481386,-0.30515453060807785,-0.8875109748977238,-0.280692189145995,-0.6214727253469042,0.6397341887741862
41,-0.30802710463533717,-0.29998061741072835,-0.30563129567563846,-0.8908649892864844,-0.28101756294611174,-0.6216084659697411,0.6398265883501869
42,-0.3086704924419969,-0.30020291227911083,-0.30604351631114296,-0.8940283407492786,-0.2814931216197886,-0.6217070164401517,0.6399034701919875
43,-0.30926616392737044,-0.3003906758712488,-0.3064909916164259,-0.8969778908023021,-0.2818380471436758,-0.6218140744097508,0.6398819558639134
44,-0.3097012816885776,-0.3005614795575708,-0.3069975522543676,-0.8997495861449226,-0.28223856887107673,-0.6219304847481848,0.6399662539319035
45,-0.3101252731187483,-0.3007364581186131,-0.307497203299035,-0.9024174029025387,-0.28269232759878804,-0.6219562817357024,0.6400573070930042
46,-0.3104946387085502,-0.3008815872766558,-0.307907294778893,-0.9049474963542246,-0.28306245109219935,-0.6220589139446284,0.6401034958107088
47,-0.3109883323185747,-0.3010614063282448,-0.308342614164464,-0.9072788315973419,-0.2834223834136577,-0.6221032454238632,0.6401338749307355
48,-0.31146196440879964,-0.3012474978732466,-0.30876103842489266,-0.9094688038846154,-0.28373291132261164,-0.6221941859189828,0.6401979331584314
49,-0.3119455847324855,-0.3014522829616927,-0.30909978526092735,-0.9115435607502472,-0.28418127856451103,-0.6222663314728547,0.6402062780302715
50,-0.31244027830721544,-0.3016569945491811,-0.3094285112953047,-0.9135645630911228,-0.28453083446163274,-0.6222305792829589,0.6402082039625392
51,-0.3128668587744457,-0.30188114962471607,-0.3097676857861067,-0.9154737521217464,-0.28483143417306755,-0.6222228426802583,0.6401895492831171
52,-0.3132030779100331,-0.3020822345029117,-0.3102355107905158,-0.9172593281386632,-0.28511629817781525,-0.6222476783774747,0.6402169108003555
53,-0.3136426075054877,-0.30226691837769143,-0.3105957145619507,-0.9189365231893306,-0.28541100782050344,-0.6222663438868192,0.6402610179096575
54,-0.31406521223585077,-0.3024178868871482,-0.3109856965357391,-0.9205328337809461,-0.2856978199914107,-0.6223021962941976,0.6403477491732436
55,-0.31452948411436366,-0.3025483056779382,-0.3113983167787602,-0.9220736927444406,-0.2858967689514106,-0.6223289794333478,0.6404146863050328
56,-0.31500112635694855,-0.30267382454272723,-0.31173645013731066,-0.9235193486885617,-0.28618364133352353,-0.6223308874587611,0.6404670860760153
57,-0.3155258527160642,-0.3028019708814769,-0.3120573922877246,-0.9249673047341654,-0.2866040938617743,-0.6223894673435447,0.6405466469345217
58,-0.3159576802762258,-0.30293888040498634,-0.3123147807607674,-0.9263168492880322,-0.2871253136252659,-0.62238196699204,0.6406347832211178
59,-0.31655060909658556,-0.3030607515143878,-0.31256370271107303,-0.9276382594191994,-0.28758969584520505,-0.6224389301647161,0.640631025283756
60,-0.3172061851410057,-0.3031693000391036,-0.3128449135400673,-0.9289124127023407,-0.2880529417990333,-0.622458872694152,0.640708900446071
61,-0.31780799157394446,-0.30328124003398094,-0.3130670188928417,-0.930134243679404,-0.2884339005892571,-0.6224749269608045,0.6408330794692464
62,-0.31839018825904447,-0.30337113764826823,-0.31328628126239727,-0.9313233208447299,-0.28875933824791544,-0.6225019183656343,0.6408848242809867
63,-0.3189938361464591,-0.303457341505807,-0.3135363612295736,-0.932416585125397,-0.2890519864633664,-0.6225468224201528,0.6409825581381149
64,-0.31956993297735936,-0.30355731103487904,-0.31367344375765877,-0.9334379971033622,-0.28930151090644673,-0.6225248296496808,0.6410342405789154
65,-0.3202166079945172,-0.30364378415785975,-0.31383352293683114,-0.9343871839262645,-0.28953590097129595,-0.6225275008525454,0.6410183238020198
66,-0.3209305303646927,-0.3037158738848065,-0.31398527954053523,-0.9353397460712104,-0.2897151138357308,-0.6225762118949579,0.6410050662218354
67,-0.3215971138396159,-0.30377756885375623,-0.31415410699621665,-0.9361874087278238,-0.28985617599059793,-0.6226291008103538,0.6410521076685307
68,-0.32208756256401044,-0.30384286657340054,-0.31428310043708424,-0.9370924919004621,-0.28996741184725705,-0.6226702898294509,0.6410367834281137
69,-0.3225259949149667,-0.3039123372956911,-0.31445812347638924,-0.9379198441400063,-0.290078494514858,-0.6227007610269698,0.6410360655863943
70,-0.3229328622167984,-0.30396725020121734,-0.31464304687042083,-0.9387068464108275,-0.29021912924852034,-0.6226817363484548,0.641054641815661
71,-0.32328260285807586,-0.3040273412594381,-0.31472272985093896,-0.939450703184368,-0.290309267195672,-0.6227057820651705,0.641087204552775
72,-0.3235975127502895,-0.3040835317321235,-0.3149380063382114,-0.9402076417131194,-0.290383874905619,-0.6227546296853407,0.6410887154133437
73,-0.3237990946386781,-0.3041398802911235,-0.31508727676259446,-0.9409149798291907,-0.2904995778982507,-0.6227878325912724,0.6411411687434567
74,-0.3240610138510602,-0.3041860654303665,-0.3151815508541097,-0.9416486122729125,-0.2905889243886782,-0.6227584430835239,0.6412084605183798
75,-0.3243375233176401,-0.30423019756280956,-0.31533149519959475,-0.9423686741596817,-0.29061890342946906,-0.6227653814556906,0.6412383449180409
76,-0.32458507201356346,-0.30427480084561254,-0.31548204676966857,-0.9429684814603183,-0.29069686215244783,-0.6227944024773143,0.6411930943225467
77,-0.32486100841955073,-0.30431165159747336,-0.3156721694376367,-0.9436073573676544,-0.29073695524487786,-0.6227982447017838,0.6412741762804108
78,-0.3251264707274931,-0.3043536073716796,-0.3159452886034988,-0.9442290332506669,-0.2908089743728479,-0.6228288178283459,0.641253136011013
79,-0.3252856872770085,-0.3043945142590095,-0.31619896482312776,-0.9448092032500184,-0.2909255889939108,-0.6228225542885837,0.6412831610241706
80,-0.32553916105770175,-0.30443360865632024,-0.316338781245894,-0.9454174320742649,-0.291006350415978,-0.6228624194196732,0.6411926411204054
81,-0.32570193824879035,-0.3044899868533856,-0.3165041263494979,-0.9459896469932693,-0.29107051683440055,-0.6228816103105191,0.6412516121217545
82,-0.3258495609299656,-0.3045254362358236,-0.31667061899069376,-0.9465619020096849,-0.2911523330093606,-0.6229480319011902,0.6412402770352498
83,-0.32604031661634414,-0.30456918722449755,-0.31678903513595935,-0.9470004939449999,-0.29122120216157366,-0.6229646661696213,0.6412512541405139
